#,id,leetcode_url,date,title,difficulty,tags
1,565,https://leetcode.com/problems/array-nesting/,2021-09-01,Array Nesting,Medium,Array;Depth-First Search
2,95,https://leetcode.com/problems/unique-binary-search-trees-ii/,2021-09-02,Unique Binary Search Trees II,Medium,Dynamic Programming;Backtracking;Tree;Binary Search Tree;Binary Tree
3,1013,https://leetcode.com/problems/fibonacci-number/,2022-01-12,Fibonacci Number,Easy,Math;Dynamic Programming;Recursion;Memoization
4,322,https://leetcode.com/problems/coin-change/,2022-01-12,Coin Change,Medium,Array;Dynamic Programming;Breadth-First Search
5,221,https://leetcode.com/problems/maximal-square/,2022-01-14,Maximal Square,Medium,Array;Dynamic Programming;Matrix
6,97,https://leetcode.com/problems/interleaving-string/,2022-01-17,Interleaving String,Medium,String;Dynamic Programming
7,78,https://leetcode.com/problems/subsets/,2022-04-25,Subsets,Medium,Array;Backtracking;Bit Manipulation
8,144,https://leetcode.com/problems/binary-tree-preorder-traversal/,2022-05-05,Binary Tree Preorder Traversal,Easy,Stack;Tree;Depth-First Search;Binary Tree
9,94,https://leetcode.com/problems/binary-tree-inorder-traversal/,2022-05-05,Binary Tree Inorder Traversal,Easy,Stack;Tree;Depth-First Search;Binary Tree
10,145,https://leetcode.com/problems/binary-tree-postorder-traversal/,2022-05-06,Binary Tree Postorder Traversal,Easy,Stack;Tree;Depth-First Search;Binary Tree
11,102,https://leetcode.com/problems/binary-tree-level-order-traversal/,2022-05-06,Binary Tree Level Order Traversal,Medium,Tree;Breadth-First Search;Binary Tree
12,104,https://leetcode.com/problems/maximum-depth-of-binary-tree/,2022-05-09,Maximum Depth of Binary Tree,Easy,Tree;Depth-First Search;Breadth-First Search;Binary Tree
13,110,https://leetcode.com/problems/balanced-binary-tree/,2022-05-09,Balanced Binary Tree,Easy,Tree;Depth-First Search;Binary Tree
14,124,https://leetcode.com/problems/binary-tree-maximum-path-sum/,2022-05-09,Binary Tree Maximum Path Sum,Hard,Dynamic Programming;Tree;Depth-First Search;Binary Tree
15,236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,2022-05-10,Lowest Common Ancestor of a Binary Tree,Medium,Tree;Depth-First Search;Binary Tree
16,103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/,2022-05-11,Binary Tree Zigzag Level Order Traversal,Medium,Tree;Breadth-First Search;Binary Tree
17,98,https://leetcode.com/problems/validate-binary-search-tree/,2022-05-11,Validate Binary Search Tree,Medium,Tree;Depth-First Search;Binary Search Tree;Binary Tree
